"career_aspiration","avg_math_score"
"Software Engineer","92.1460317460317460"
"Doctor","92.0252100840336134"
"Game Developer","89.9523809523809524"
"Construction Engineer","89.7205882352941176"
"Stock Investor","88.1095890410958904"
"Scientist","87.6666666666666667"
"Accountant","87.3571428571428571"
"Banker","87.0828402366863905"
"Lawyer","86.0362318840579710"
"Designer","82.3571428571428571"
"Government Officer","80.6557377049180328"
"Artist","80.1194029850746269"
"Unknown","79.8430493273542601"
"Teacher","78.5932203389830508"
"Writer","78.3125000000000000"
"Real Estate Developer","76.4216867469879518"
"Business Owner","69.6440129449838188"
